Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
0.108043871,-1.31605625152588,-1.58283567428589,-4.37182140350342,65.00682211,25.4650414,9.35614607878097,0,Err:520,15.4225072860718,19.0946578979492
0.112968038,-1.18868851661682,-1.49334764480591,-3.98618221282959,65.00682402,25.46503826,9.35614513909596,0,Err:520,15.4225072860718,19.0946578979492
0.117891371,-1.17857789993286,-1.35074234008789,-3.63276672363281,65.00682749,25.46503959,11.3099402816091,0,Err:520,12.9894256591797,16.2130928039551
0.12281559,-1.20037078857422,-1.22997689247131,-3.21927642822266,65.00683199,25.46503846,11.5671406286308,0,Err:520,10.7504301071167,14.3186874389648
0.127740538,-1.15332770347595,-1.0155291557312,-2.74458074569702,65.00683672,25.46504022,12.2954714487003,0,Err:520,10.0383434295654,13.8098678588867
0.132664705,-0.98233437538147,-0.815142869949341,-2.33974266052246,65.00683627,25.4650452,12.7211921640536,0,Err:520,9.89504623413086,14.1580076217651
0.13758809,-0.774751663208008,-0.622313499450684,-2.26097774505615,65.00683783,25.46504536,13.0217286852616,0,Err:520,9.5669059753418,13.7812280654907
0.142512257,-0.623463153839111,-0.387993574142456,-2.15214824676514,65.00684031,25.46504729,13.601622880063,0,Err:520,8.59779930114746,12.5263299942017
0.147437257,-0.553512334823608,-0.193485736846924,-2.05947494506836,65.00684317,25.4650496,13.5654891220212,0,Err:520,8.06670093536377,11.8863086700439
0.152361423,-0.401132345199585,-0.0801804065704346,-1.90589141845703,65.00684581,25.46504801,14.1174899572991,0,Err:520,7.51900625228882,11.1771678924561
0.157284809,-0.164182186126709,0.0290451049804688,-1.72505283355713,65.00684938,25.46504829,14.9597737618918,0,Err:520,7.03044891357422,10.497015953064
0.162208976,0.0476491451263428,0.199556350708008,-1.47562885284424,65.00686303,25.46504301,15.2544459100116,0,Err:520,6.77242183685303,10.193078994751
0.167133923,0.288142442703247,0.360660076141357,-1.14967823028564,65.00687373,25.46504481,16.0726792267588,0,Err:520,6.83844757080078,10.2845153808594
0.172058142,0.488703727722168,0.407216310501099,-0.875686645507813,65.00687799,25.46504846,16.7067720705186,0.180000007152557,35.4000015258789,6.51662540435791,9.69719791412354
0.176981476,0.695927023887634,0.41761302947998,-0.766567230224609,65.00688525,25.46505711,15.9517649712156,0.769999980926514,38.2999992370606,6.15813970565796,9.01298046112061
0.181905694,0.884626269340515,0.381619453430176,-0.79570484161377,65.00689721,25.46507379,16.3461706598166,1.52999997138977,26.3999996185303,6.02670669555664,8.75704956054688
0.186830642,0.925467491149902,0.330817699432373,-0.988934516906738,65.00690856,25.46509621,17.5791389727455,1.13999998569489,29.3999996185303,5.91689443588257,8.4994478225708
0.191754809,0.876412630081177,0.298402786254883,-1.13755130767822,65.00691958,25.46512087,17.6491436931538,1.25,32.0999984741211,5.38209199905396,7.71369981765747
0.196678194,0.635433197021484,0.223822593688965,-1.20158004760742,65.00693089,25.46514582,18.5110184390533,1.12999999523163,38.7999992370606,5.07792615890503,7.26780557632446
0.201602361,0.699735999107361,0.241219520568848,-1.56969356536865,65.00694091,25.46517027,16.6838067333544,1.1599999666214,38.0999984741211,4.89524221420288,6.90735626220703
0.206527361,0.665568947792053,0.0970940589904785,-1.49195194244385,65.00695073,25.46519619,16.2508212759279,1.16999995708466,39.0999984741211,4.87746143341064,6.80397844314575
0.211451528,0.573991298675537,-0.0481619834899902,-1.22709178924561,65.00696356,25.46522333,17.9322756626135,1.25,37.7999992370606,5.08924245834351,7.10932636260986
0.216374913,0.435102343559265,-0.174148559570313,-1.11978149414063,65.00697742,25.46524807,17.9023647504164,1.25999999046326,35.5999984741211,5.00417852401733,6.89584684371948
0.22129908,0.33971107006073,-0.198423385620117,-1.01873016357422,65.00699026,25.46526943,17.999712307914,1.28999996185303,33.2999992370606,4.94002246856689,6.7083010673523
0.226224028,0.151024460792542,-0.224495887756348,-0.839424133300781,65.00700259,25.46529093,17.6898945433922,1.32000005245209,36.7999992370606,4.7585301399231,6.2960319519043
0.231148246,-0.00540900230407715,-0.164071559906006,-0.730477333068848,65.00701228,25.46531453,18.0313840827944,1.20000004768372,40.5,4.98346281051636,6.79578828811646
0.23607158,-0.216895818710327,-0.191802024841309,-0.664385795593262,65.00702381,25.46533568,18.443673536476,1.3400000333786,35.2999992370606,5.22142219543457,7.21315860748291
0.240995798,-0.360449552536011,-0.209124565124512,-0.712687492370606,65.00703535,25.4653571,18.5603697428376,1.29999995231628,40.2000007629395,5.56143951416016,7.70408439636231
0.245920746,-0.484299182891846,-0.157503128051758,-0.650691032409668,65.00704768,25.46538101,19.4334134672589,1.3400000333786,39.9000015258789,5.36614561080933,7.36367893218994
0.250844913,-0.501237392425537,-0.0947065353393555,-0.53196907043457,65.00706319,25.46539799,19.011167429291,1.5,22.8999996185303,5.49884700775147,7.47541046142578
0.255768298,-0.637686252593994,-0.0933847427368164,-0.383275985717773,65.00707721,25.46541021,19.0310603207101,1.4099999666214,18.5,5.54654836654663,7.46214532852173
